MUNICIPIO,POTÊNCIA,N_MOD,PESO_TOTAL,VIDRO,ALUMÍNIO,EVA,SILÍCIO,POLÍMERO,CABOS (Cu e Polimeros),CONDUTOR AL (Interno),CONDUTOR CU (Interno),CHUMBO E ESTANHO,PRATA,SISTEMAS,LATITUDE,LONGITUDE
Nossa Senhora do Livramento,"6.223,00","14.794,00",394.08,275.86,70.94,20.1,14.38,5.91,3.94,2.09,0.43,0.21,0.21,191,-15.772,-56.3432
Nossa Senhora do Socorro,"5.972,00","11.058,00",332.07,232.45,59.77,16.94,12.12,4.98,3.32,1.76,0.37,0.18,0.18,363,-10.8468,-37.1231
Nossa Senhora dos Remédios,"101,00","153,00",5.16,3.62,0.93,0.26,0.19,0.08,0.05,0.03,0.01,0.0,0.0,13,-3.97574,-42.6184
Nova Aliança,"1.558,00","2.409,00",82.05,57.44,14.77,4.18,2.99,1.23,0.82,0.43,0.09,0.04,0.04,88,-21.0156,-49.4986
Nova Aliança do Ivaí,"451,00","678,00",23.33,16.33,4.2,1.19,0.85,0.35,0.23,0.12,0.03,0.01,0.01,32,-23.1763,-52.6032
Nova Alvorada,"1.601,00","3.485,00",95.63,66.94,17.21,4.88,3.49,1.43,0.96,0.51,0.11,0.05,0.05,138,-28.6822,-52.1631
Nova Alvorada do Sul,"6.279,00","13.036,00",368.25,257.78,66.29,18.78,13.44,5.52,3.68,1.95,0.41,0.2,0.2,449,-21.4657,-54.3825
Nova América,"209,00","357,00",11.32,7.92,2.04,0.58,0.41,0.17,0.11,0.06,0.01,0.01,0.01,26,-15.0206,-49.8953
Nova América da Colina,"238,00","396,00",12.43,8.7,2.24,0.63,0.45,0.19,0.12,0.07,0.01,0.01,0.01,28,-23.3308,-50.7168
Nova Andradina,"17.734,00","34.538,00",1009.62,706.74,181.73,51.49,36.85,15.14,10.1,5.35,1.11,0.54,0.54,2110,-22.238,-53.3437
