MUNICIPIO,POTÊNCIA,N_MOD,PESO_TOTAL,VIDRO,ALUMÍNIO,EVA,SILÍCIO,POLÍMERO,CABOS (Cu e Polimeros),CONDUTOR AL (Interno),CONDUTOR CU (Interno),CHUMBO E ESTANHO,PRATA,SISTEMAS,LATITUDE,LONGITUDE
Abadia de Goiás,"4.659,00","11.433,00",284.81,199.37,51.27,14.53,10.4,4.27,2.85,1.51,0.31,0.15,0.15,514,-16.7573,-49.4412
Abadia dos Dourados,"1.074,00","2.094,00",60.83,42.58,10.95,3.1,2.22,0.91,0.61,0.32,0.07,0.03,0.03,98,-18.4831,-47.3916
Abadiânia,"2.882,00","5.295,00",159.7,111.79,28.75,8.14,5.83,2.4,1.6,0.85,0.18,0.08,0.08,136,-16.197,-48.7057
Abaetetuba,"13.947,00","25.708,00",780.28,546.19,140.45,39.79,28.48,11.7,7.8,4.14,0.86,0.41,0.41,1412,-1.72183,-48.8788
Abaeté,"4.302,00","10.383,00",268.87,188.21,48.4,13.71,9.81,4.03,2.69,1.43,0.3,0.14,0.14,370,-19.1551,-45.4444
Abaiara,"289,00","594,00",16.76,11.73,3.02,0.85,0.61,0.25,0.17,0.09,0.02,0.01,0.01,29,-7.34588,-39.0416
Abaré,"505,00","843,00",26.76,18.73,4.82,1.36,0.98,0.4,0.27,0.14,0.03,0.01,0.01,62,-8.72073,-39.1162
Abatiá,"1.411,00","2.820,00",84.09,58.86,15.14,4.29,3.07,1.26,0.84,0.45,0.09,0.04,0.04,84,-23.3049,-50.3133
Abaíra,"278,00","437,00",14.97,10.48,2.69,0.76,0.55,0.22,0.15,0.08,0.02,0.01,0.01,38,-13.2488,-41.6619
Abdon Batista,"176,00","295,00",8.89,6.22,1.6,0.45,0.32,0.13,0.09,0.05,0.01,0.0,0.0,26,-27.6126,-51.0233
Abel Figueiredo,"613,00","992,00",31.63,22.14,5.69,1.61,1.15,0.47,0.32,0.17,0.03,0.02,0.02,58,-4.95333,-48.3933
Abelardo Luz,"1.791,00","5.081,00",121.15,84.8,21.81,6.18,4.42,1.82,1.21,0.64,0.13,0.06,0.06,99,-26.5716,-52.3229
Abre Campo,"3.501,00","6.321,00",190.54,133.38,34.3,9.72,6.95,2.86,1.91,1.01,0.21,0.1,0.1,223,-20.2996,-42.4743
Abreu e Lima,"3.716,00","6.516,00",201.65,141.15,36.3,10.28,7.36,3.02,2.02,1.07,0.22,0.11,0.11,433,-7.90072,-34.8984
Abreulândia,"152,00","239,00",7.9,5.53,1.42,0.4,0.29,0.12,0.08,0.04,0.01,0.0,0.0,15,-9.62101,-49.1518
Acaiaca,"161,00","254,00",8.38,5.86,1.51,0.43,0.31,0.13,0.08,0.04,0.01,0.0,0.0,22,-20.359,-43.1439
Acajutiba,"490,00","730,00",25.38,17.76,4.57,1.29,0.93,0.38,0.25,0.13,0.03,0.01,0.01,51,-11.6575,-38.0197
Acarape,"1.498,00","3.525,00",89.73,62.81,16.15,4.58,3.28,1.35,0.9,0.48,0.1,0.05,0.05,51,-4.22083,-38.7055
Acaraú,"9.418,00","15.566,00",501.51,351.05,90.27,25.58,18.3,7.52,5.02,2.66,0.55,0.27,0.27,396,-2.88769,-40.1183
Acari,"1.455,00","2.436,00",77.02,53.91,13.86,3.93,2.81,1.16,0.77,0.41,0.08,0.04,0.04,165,-6.4282,-36.6347
Acará,"591,00","920,00",30.64,21.45,5.52,1.56,1.12,0.46,0.31,0.16,0.03,0.02,0.02,45,-1.95383,-48.1985
Acauã,"402,00","794,00",23.01,16.11,4.14,1.17,0.84,0.35,0.23,0.12,0.03,0.01,0.01,47,-8.21954,-41.0831
Aceguá,"1.009,00","1.720,00",53.08,37.15,9.55,2.71,1.94,0.8,0.53,0.28,0.06,0.03,0.03,89,-31.8665,-54.1615
Acopiara,"3.653,00","6.860,00",206.41,144.48,37.15,10.53,7.53,3.1,2.06,1.09,0.23,0.11,0.11,325,-6.08911,-39.448
Acorizal,"1.586,00","2.876,00",87.59,61.31,15.77,4.47,3.2,1.31,0.88,0.46,0.1,0.05,0.05,128,-15.194,-56.3632
Acrelândia,"1.512,00","2.457,00",79.36,55.55,14.28,4.05,2.9,1.19,0.79,0.42,0.09,0.04,0.04,112,-9.82581,-66.8972
Acreúna,"4.109,00","7.966,00",235.66,164.96,42.42,12.02,8.6,3.53,2.36,1.25,0.26,0.12,0.12,352,-17.396,-50.3749
Adamantina,"15.039,00","31.058,00",888.57,622.0,159.94,45.32,32.43,13.33,8.89,4.71,0.98,0.47,0.47,2132,-21.682,-51.0737
Adelândia,"417,00","717,00",22.43,15.7,4.04,1.14,0.82,0.34,0.22,0.12,0.02,0.01,0.01,29,-16.4127,-50.1657
Adolfo,"594,00","936,00",31.2,21.84,5.62,1.59,1.14,0.47,0.31,0.17,0.03,0.02,0.02,86,-21.2325,-49.6451
Adrianópolis,"345,00","529,00",17.55,12.28,3.16,0.89,0.64,0.26,0.18,0.09,0.02,0.01,0.01,19,-24.6606,-48.9922
Adustina,"231,00","473,00",13.36,9.35,2.41,0.68,0.49,0.2,0.13,0.07,0.01,0.01,0.01,33,-10.5437,-38.1113
Afogados da Ingazeira,"5.690,00","11.447,00",329.14,230.4,59.25,16.79,12.01,4.94,3.29,1.74,0.36,0.17,0.17,580,-7.74312,-37.631
Afonso Bezerra,"475,00","716,00",24.12,16.88,4.34,1.23,0.88,0.36,0.24,0.13,0.03,0.01,0.01,46,-5.49229,-36.5075
Afonso Cláudio,"5.808,00","10.758,00",328.06,229.64,59.05,16.73,11.97,4.92,3.28,1.74,0.36,0.17,0.17,449,-20.0778,-41.1261
Afonso Cunha,"387,00","592,00",20.66,14.46,3.72,1.05,0.75,0.31,0.21,0.11,0.02,0.01,0.01,6,-4.13631,-43.3275
Afrânio,"1.903,00","3.241,00",102.6,71.82,18.47,5.23,3.74,1.54,1.03,0.54,0.11,0.05,0.05,181,-8.51136,-41.0095
Afuá,"60,00","90,00",3.15,2.2,0.57,0.16,0.11,0.05,0.03,0.02,0.0,0.0,0.0,6,-0.154874,-50.3861
Agrestina,"1.870,00","2.903,00",96.2,67.34,17.32,4.91,3.51,1.44,0.96,0.51,0.11,0.05,0.05,143,-8.45966,-35.9447
Agricolândia,"363,00","578,00",18.9,13.23,3.4,0.96,0.69,0.28,0.19,0.1,0.02,0.01,0.01,47,-5.79676,-42.6664
Agrolândia,"1.421,00","3.425,00",87.29,61.1,15.71,4.45,3.19,1.31,0.87,0.46,0.1,0.05,0.05,96,-27.4087,-49.822
Agronômica,"649,00","1.919,00",45.33,31.73,8.16,2.31,1.65,0.68,0.45,0.24,0.05,0.02,0.02,49,-27.2662,-49.708
Aguanil,"1.135,00","1.862,00",59.11,41.38,10.64,3.01,2.16,0.89,0.59,0.31,0.07,0.03,0.03,70,-20.9439,-45.3915
Aguaí,"4.339,00","8.715,00",253.08,177.15,45.55,12.91,9.24,3.8,2.53,1.34,0.28,0.13,0.13,291,-22.0572,-46.9735
Agudo,"7.091,00","14.731,00",412.24,288.57,74.2,21.02,15.05,6.18,4.12,2.18,0.45,0.22,0.22,869,-29.6447,-53.2515
Agudos,"3.589,00","6.879,00",205.62,143.93,37.01,10.49,7.51,3.08,2.06,1.09,0.23,0.11,0.11,465,-22.4694,-48.9863
Agudos do Sul,"1.022,00","2.140,00",58.87,41.21,10.6,3.0,2.15,0.88,0.59,0.31,0.06,0.03,0.03,57,-25.9899,-49.3343
Aguiar,"302,00","893,00",21.92,15.35,3.95,1.12,0.8,0.33,0.22,0.12,0.02,0.01,0.01,32,-7.0918,-38.1681
Aguiarnópolis,"675,00","1.069,00",34.16,23.91,6.15,1.74,1.25,0.51,0.34,0.18,0.04,0.02,0.02,25,-6.55409,-47.4702
Aimorés,"4.940,00","9.646,00",281.83,197.28,50.73,14.37,10.29,4.23,2.82,1.49,0.31,0.15,0.15,671,-19.5007,-41.0746
Aiquara,"157,00","238,00",8.01,5.6,1.44,0.41,0.29,0.12,0.08,0.04,0.01,0.0,0.0,10,-14.1269,-39.8937
Aiuaba,"291,00","467,00",15.35,10.74,2.76,0.78,0.56,0.23,0.15,0.08,0.02,0.01,0.01,55,-6.57122,-40.1178
Aiuruoca,"593,00","1.146,00",33.09,23.16,5.96,1.69,1.21,0.5,0.33,0.18,0.04,0.02,0.02,52,-21.9736,-44.6042
Ajuricaba,"2.676,00","4.904,00",149.41,104.59,26.89,7.62,5.45,2.24,1.49,0.79,0.16,0.08,0.08,383,-28.2342,-53.7757
Alagoa,"259,00","450,00",13.84,9.69,2.49,0.71,0.51,0.21,0.14,0.07,0.02,0.01,0.01,20,-22.171,-44.6413
Alagoa Grande,"1.244,00","2.562,00",72.35,50.64,13.02,3.69,2.64,1.09,0.72,0.38,0.08,0.04,0.04,102,-7.03943,-35.6206
Alagoa Nova,"464,00","906,00",26.22,18.35,4.72,1.34,0.96,0.39,0.26,0.14,0.03,0.01,0.01,46,-7.05377,-35.7591
Alagoinha,"2.059,00","5.752,00",143.48,100.44,25.83,7.32,5.24,2.15,1.43,0.76,0.16,0.08,0.08,101,-6.94657,-35.5332
Alagoinha do Piauí,"577,00","1.267,00",34.82,24.38,6.27,1.78,1.27,0.52,0.35,0.18,0.04,0.02,0.02,85,-7.00039,-40.9282
Alagoinhas,"11.714,00","32.691,00",791.58,554.11,142.49,40.37,28.89,11.87,7.92,4.2,0.87,0.42,0.42,1180,-12.1335,-38.4208
Alambari,"595,00","1.086,00",34.72,24.3,6.25,1.77,1.27,0.52,0.35,0.18,0.04,0.02,0.02,57,-23.5503,-47.898
Albertina,"257,00","446,00",13.91,9.73,2.5,0.71,0.51,0.21,0.14,0.07,0.02,0.01,0.01,41,-22.2018,-46.6139
Alcantil,"100,00","160,00",5.26,3.68,0.95,0.27,0.19,0.08,0.05,0.03,0.01,0.0,0.0,16,-7.73668,-36.0511
Alcinópolis,"1.790,00","2.906,00",94.97,66.48,17.09,4.84,3.47,1.42,0.95,0.5,0.1,0.05,0.05,144,-18.3255,-53.7042
Alcobaça,"1.687,00","2.642,00",87.62,61.33,15.77,4.47,3.2,1.31,0.88,0.46,0.1,0.05,0.05,139,-17.5195,-39.2036
Alcântara,"1.035,00","1.486,00",51.84,36.29,9.33,2.64,1.89,0.78,0.52,0.27,0.06,0.03,0.03,6,-2.39574,-44.4062
Alcântaras,"341,00","539,00",17.45,12.22,3.14,0.89,0.64,0.26,0.17,0.09,0.02,0.01,0.01,47,-3.58537,-40.5479
Aldeias Altas,"200,00","287,00",9.88,6.91,1.78,0.5,0.36,0.15,0.1,0.05,0.01,0.01,0.01,24,-4.62621,-43.4689
Alecrim,"1.550,00","2.931,00",86.96,60.87,15.65,4.44,3.17,1.3,0.87,0.46,0.1,0.05,0.05,248,-27.6579,-54.7649
Alegre,"3.618,00","6.750,00",203.48,142.44,36.63,10.38,7.43,3.05,2.03,1.08,0.22,0.11,0.11,420,-20.758,-41.5382
Alegrete,"20.732,00","39.580,00",1170.01,819.01,210.6,59.67,42.71,17.55,11.7,6.2,1.29,0.62,0.62,1695,-29.7902,-55.7949
Alegrete do Piauí,"216,00","446,00",12.57,8.8,2.26,0.64,0.46,0.19,0.13,0.07,0.01,0.01,0.01,28,-7.24196,-40.8566
Alegria,"1.416,00","2.698,00",78.39,54.87,14.11,4.0,2.86,1.18,0.78,0.42,0.09,0.04,0.04,167,-27.8345,-54.0557
Alenquer,"2.250,00","3.898,00",119.83,83.88,21.57,6.11,4.37,1.8,1.2,0.64,0.13,0.06,0.06,231,-1.94623,-54.7384
Alexandria,"1.777,00","3.020,00",95.42,66.79,17.17,4.87,3.48,1.43,0.95,0.51,0.1,0.05,0.05,154,-6.40533,-38.0142
Alexânia,"3.446,00","7.329,00",212.21,148.55,38.2,10.82,7.75,3.18,2.12,1.12,0.23,0.11,0.11,338,-16.0834,-48.5076
Alfenas,"11.255,00","24.762,00",671.5,470.05,120.87,34.25,24.51,10.07,6.71,3.56,0.74,0.36,0.36,1055,-21.4256,-45.9477
Alfredo Chaves,"3.140,00","5.275,00",169.35,118.54,30.48,8.64,6.18,2.54,1.69,0.9,0.19,0.09,0.09,277,-20.6396,-40.7543
Alfredo Marcondes,"1.515,00","3.577,00",94.11,65.87,16.94,4.8,3.43,1.41,0.94,0.5,0.1,0.05,0.05,165,-21.9527,-51.414
Alfredo Vasconcelos,"735,00","1.429,00",41.21,28.85,7.42,2.1,1.5,0.62,0.41,0.22,0.05,0.02,0.02,57,-21.1535,-43.7718
Alfredo Wagner,"309,00","733,00",18.63,13.04,3.35,0.95,0.68,0.28,0.19,0.1,0.02,0.01,0.01,42,-27.7001,-49.3273
Algodão de Jandaíra,"138,00","212,00",7.37,5.16,1.33,0.38,0.27,0.11,0.07,0.04,0.01,0.0,0.0,7,-6.89292,-36.0129
Alhandra,"858,00","1.413,00",46.71,32.7,8.41,2.38,1.7,0.7,0.47,0.25,0.05,0.02,0.02,34,-7.42977,-34.9057
Aliança,"1.954,00","3.063,00",100.91,70.64,18.16,5.15,3.68,1.51,1.01,0.53,0.11,0.05,0.05,118,-7.60398,-35.2227
Aliança do Tocantins,"855,00","1.392,00",44.54,31.18,8.02,2.27,1.63,0.67,0.45,0.24,0.05,0.02,0.02,73,-11.3056,-48.9361
Almadina,"112,00","176,00",5.86,4.11,1.06,0.3,0.21,0.09,0.06,0.03,0.01,0.0,0.0,9,-14.7089,-39.6415
Almas,"487,00","742,00",25.28,17.7,4.55,1.29,0.92,0.38,0.25,0.13,0.03,0.01,0.01,32,-11.5706,-47.1792
Almeirim,"1.117,00","1.849,00",59.58,41.71,10.73,3.04,2.17,0.89,0.6,0.32,0.07,0.03,0.03,105,-1.52904,-52.5788
Almenara,"3.408,00","7.287,00",203.84,142.68,36.69,10.4,7.44,3.06,2.04,1.08,0.22,0.11,0.11,541,-16.1785,-40.6942
Almino Afonso,"367,00","636,00",19.74,13.81,3.55,1.01,0.72,0.3,0.2,0.1,0.02,0.01,0.01,52,-6.1475,-37.7636
Almirante Tamandaré,"3.848,00","6.639,00",209.84,146.89,37.77,10.7,7.66,3.15,2.1,1.11,0.23,0.11,0.11,287,-25.3188,-49.3037
Almirante Tamandaré do Sul,"1.172,00","2.168,00",65.84,46.09,11.85,3.36,2.4,0.99,0.66,0.35,0.07,0.03,0.03,122,-28.1149,-52.9142
Aloândia,"508,00","1.057,00",29.84,20.89,5.37,1.52,1.09,0.45,0.3,0.16,0.03,0.02,0.02,71,-17.7292,-49.4769
Alpercata,"1.613,00","2.954,00",89.17,62.42,16.05,4.55,3.25,1.34,0.89,0.47,0.1,0.05,0.05,145,-18.974,-41.97
Alpestre,"2.072,00","3.836,00",114.24,79.96,20.56,5.83,4.17,1.71,1.14,0.61,0.13,0.06,0.06,196,-27.2502,-53.0341
Alpinópolis,"6.354,00","14.746,00",395.59,276.92,71.21,20.18,14.44,5.93,3.96,2.1,0.44,0.21,0.21,515,-20.8631,-46.3878
Alta Floresta,"23.386,00","51.668,00",1418.03,992.62,255.25,72.32,51.76,21.27,14.18,7.52,1.56,0.75,0.75,1995,-9.86674,-56.0867
Alta Floresta D'Oeste,"2.994,00","4.765,00",156.22,109.35,28.12,7.97,5.7,2.34,1.56,0.83,0.17,0.08,0.08,305,-11.9283,-61.9953
Altair,"456,00","853,00",25.59,17.91,4.61,1.31,0.93,0.38,0.26,0.14,0.03,0.01,0.01,44,-20.5242,-49.0571
Altamira,"21.693,00","41.665,00",1238.96,867.27,223.01,63.19,45.22,18.58,12.39,6.57,1.36,0.66,0.66,1613,-3.20407,-52.21
Altamira do Maranhão,"212,00","384,00",11.86,8.3,2.14,0.6,0.43,0.18,0.12,0.06,0.01,0.01,0.01,19,-4.16598,-45.4706
Altamira do Paraná,"710,00","1.168,00",37.71,26.39,6.79,1.92,1.38,0.57,0.38,0.2,0.04,0.02,0.02,47,-24.7983,-52.7128
Altaneira,"192,00","293,00",10.1,7.07,1.82,0.52,0.37,0.15,0.1,0.05,0.01,0.01,0.01,16,-6.99837,-39.7356
Alterosa,"1.556,00","3.348,00",93.07,65.15,16.75,4.75,3.4,1.4,0.93,0.49,0.1,0.05,0.05,154,-21.2488,-46.1387
Altinho,"981,00","1.639,00",53.4,37.38,9.61,2.72,1.95,0.8,0.53,0.28,0.06,0.03,0.03,94,-8.48482,-36.0644
Altinópolis,"4.749,00","8.021,00",251.0,175.7,45.18,12.8,9.16,3.76,2.51,1.33,0.28,0.13,0.13,222,-21.0214,-47.3712
Alto Alegre,"1.152,00","1.816,00",61.0,42.7,10.98,3.11,2.23,0.91,0.61,0.32,0.07,0.03,0.03,164,2.98858,-61.3072
Alto Alegre do Maranhão,"1.003,00","1.820,00",54.89,38.42,9.88,2.8,2.0,0.82,0.55,0.29,0.06,0.03,0.03,91,-4.213,-44.446
Alto Alegre do Pindaré,"331,00","546,00",17.71,12.4,3.19,0.9,0.65,0.27,0.18,0.09,0.02,0.01,0.01,27,-3.66689,-45.8421
Alto Alegre dos Parecis,"1.100,00","1.679,00",57.76,40.43,10.4,2.95,2.11,0.87,0.58,0.31,0.06,0.03,0.03,113,-12.132,-61.835
Alto Araguaia,"2.519,00","5.562,00",153.83,107.68,27.69,7.85,5.61,2.31,1.54,0.82,0.17,0.08,0.08,225,-17.3153,-53.2181
Alto Bela Vista,"692,00","1.856,00",45.42,31.8,8.18,2.32,1.66,0.68,0.45,0.24,0.05,0.02,0.02,51,-27.4333,-51.9044
Alto Boa Vista,"911,00","1.575,00",48.71,34.1,8.77,2.48,1.78,0.73,0.49,0.26,0.05,0.03,0.03,83,-11.6732,-51.3883
Alto Caparaó,"1.353,00","2.498,00",74.79,52.35,13.46,3.81,2.73,1.12,0.75,0.4,0.08,0.04,0.04,137,-20.431,-41.8738
Alto Feliz,"7.768,00","13.529,00",420.54,294.38,75.7,21.45,15.35,6.31,4.21,2.23,0.46,0.22,0.22,850,-29.3919,-51.3123
Alto Garças,"2.988,00","7.191,00",193.19,135.23,34.77,9.85,7.05,2.9,1.93,1.02,0.21,0.1,0.1,134,-16.9462,-53.5272
Alto Horizonte,"1.247,00","2.432,00",71.01,49.71,12.78,3.62,2.59,1.07,0.71,0.38,0.08,0.04,0.04,169,-14.1978,-49.3378
Alto Jequitibá,"2.904,00","4.992,00",157.2,110.04,28.3,8.02,5.74,2.36,1.57,0.83,0.17,0.08,0.08,212,-20.4208,-41.967
Alto Longá,"1.289,00","2.703,00",79.89,55.92,14.38,4.07,2.92,1.2,0.8,0.42,0.09,0.04,0.04,85,-5.25634,-42.2096
Alto Paraguai,"1.997,00","2.959,00",100.98,70.69,18.18,5.15,3.69,1.51,1.01,0.54,0.11,0.05,0.05,77,-14.5137,-56.4776
Alto Paraná,"12.284,00","20.597,00",644.88,451.42,116.08,32.89,23.54,9.67,6.45,3.42,0.71,0.34,0.34,326,-23.1312,-52.3189
Alto Paraíso,"2.182,00","3.493,00",113.58,79.5,20.44,5.79,4.15,1.7,1.14,0.6,0.12,0.06,0.06,217,-26.1146,-52.7469
Alto Paraíso de Goiás,"773,00","1.508,00",44.66,31.26,8.04,2.28,1.63,0.67,0.45,0.24,0.05,0.02,0.02,107,-14.1305,-47.51
Alto Parnaíba,"510,00","876,00",28.22,19.75,5.08,1.44,1.03,0.42,0.28,0.15,0.03,0.01,0.01,25,-9.10273,-45.9303
Alto Piquiri,"1.924,00","3.442,00",103.77,72.64,18.68,5.29,3.79,1.56,1.04,0.55,0.11,0.05,0.05,191,-24.0224,-53.44
Alto Rio Doce,"1.100,00","2.129,00",62.05,43.43,11.17,3.16,2.26,0.93,0.62,0.33,0.07,0.03,0.03,125,-21.0281,-43.4067
Alto Rio Novo,"526,00","915,00",28.68,20.07,5.16,1.46,1.05,0.43,0.29,0.15,0.03,0.02,0.02,69,-19.0618,-41.0209
Alto Santo,"1.528,00","2.746,00",85.59,59.92,15.41,4.37,3.12,1.28,0.86,0.45,0.09,0.05,0.05,105,-5.50894,-38.2743
Alto Taquari,"3.104,00","5.950,00",176.7,123.69,31.81,9.01,6.45,2.65,1.77,0.94,0.19,0.09,0.09,145,-17.8241,-53.2792
Alto do Rodrigues,"2.222,00","4.183,00",124.83,87.38,22.47,6.37,4.56,1.87,1.25,0.66,0.14,0.07,0.07,231,-5.28186,-36.75
Altos,"8.259,00","18.072,00",492.78,344.94,88.7,25.13,17.99,7.39,4.93,2.61,0.54,0.26,0.26,458,-5.03888,-42.4612
Altônia,"8.092,00","17.416,00",482.8,337.96,86.9,24.62,17.62,7.24,4.83,2.56,0.53,0.26,0.26,823,-23.8759,-53.8958
Alumínio,"652,00","1.202,00",36.08,25.26,6.49,1.84,1.32,0.54,0.36,0.19,0.04,0.02,0.02,108,-23.5306,-47.2546
Alvarenga,"259,00","461,00",13.66,9.56,2.46,0.7,0.5,0.2,0.14,0.07,0.02,0.01,0.01,39,-19.4174,-41.7317
Alvinlândia,"260,00","461,00",14.15,9.9,2.55,0.72,0.52,0.21,0.14,0.07,0.02,0.01,0.01,18,-22.4435,-49.7623
Alvinópolis,"1.790,00","4.737,00",114.8,80.36,20.66,5.85,4.19,1.72,1.15,0.61,0.13,0.06,0.06,117,-20.1098,-43.0535
Alvorada,"11.159,00","19.810,00",613.14,429.2,110.37,31.27,22.38,9.2,6.13,3.25,0.67,0.32,0.32,1415,-29.9914,-51.0809
Alvorada D'Oeste,"1.639,00","2.588,00",84.7,59.29,15.25,4.32,3.09,1.27,0.85,0.45,0.09,0.04,0.04,190,-11.3463,-62.2847
Alvorada de Minas,"207,00","347,00",11.16,7.81,2.01,0.57,0.41,0.17,0.11,0.06,0.01,0.01,0.01,16,-18.7334,-43.3638
Alvorada do Gurguéia,"104,00","167,00",5.6,3.92,1.01,0.29,0.2,0.08,0.06,0.03,0.01,0.0,0.0,13,-8.42418,-43.777
Alvorada do Norte,"627,00","1.221,00",35.51,24.86,6.39,1.81,1.3,0.53,0.36,0.19,0.04,0.02,0.02,62,-14.4797,-46.491
Alvorada do Sul,"3.420,00","7.222,00",200.48,140.33,36.09,10.22,7.32,3.01,2.0,1.06,0.22,0.11,0.11,382,-22.7813,-51.2297
Além Paraíba,"4.104,00","8.750,00",252.22,176.55,45.4,12.86,9.21,3.78,2.52,1.34,0.28,0.13,0.13,498,-21.8797,-42.7176
Amajari,"80,00","123,00",4.3,3.01,0.77,0.22,0.16,0.06,0.04,0.02,0.0,0.0,0.0,1,3.64571,-61.3692
Amambai,"8.902,00","17.901,00",518.58,363.0,93.34,26.45,18.93,7.78,5.19,2.75,0.57,0.27,0.27,821,-23.1058,-55.2253
Amaporã,"1.545,00","2.838,00",85.15,59.61,15.33,4.34,3.11,1.28,0.85,0.45,0.09,0.05,0.05,115,-23.0943,-52.7866
Amapá,"28,00","67,00",1.78,1.24,0.32,0.09,0.06,0.03,0.02,0.01,0.0,0.0,0.0,4,2.05267,-50.7957
Amapá do Maranhão,"30,00","43,00",1.5,1.05,0.27,0.08,0.05,0.02,0.02,0.01,0.0,0.0,0.0,5,-1.67524,-46.0024
Amaraji,"631,00","1.001,00",33.34,23.34,6.0,1.7,1.22,0.5,0.33,0.18,0.04,0.02,0.02,41,-8.37691,-35.4501
Amaral Ferrador,"325,00","605,00",18.36,12.85,3.3,0.94,0.67,0.28,0.18,0.1,0.02,0.01,0.01,48,-30.8756,-52.2509
Amaralina,"196,00","288,00",9.97,6.98,1.79,0.51,0.36,0.15,0.1,0.05,0.01,0.01,0.01,19,-13.9236,-49.2962
Amarante,"1.014,00","2.150,00",65.11,45.57,11.72,3.32,2.38,0.98,0.65,0.35,0.07,0.03,0.03,109,-6.24304,-42.8433
Amarante do Maranhão,"1.310,00","2.469,00",73.04,51.13,13.15,3.72,2.67,1.1,0.73,0.39,0.08,0.04,0.04,135,-5.56913,-46.7473
Amargosa,"2.876,00","5.339,00",161.5,113.05,29.07,8.24,5.89,2.42,1.62,0.86,0.18,0.09,0.09,253,-13.0215,-39.602
Americana,"24.615,00","73.480,00",1737.5,1216.25,312.75,88.61,63.42,26.06,17.37,9.21,1.91,0.92,0.92,2914,-22.7374,-47.3331
Americano do Brasil,"895,00","1.711,00",50.89,35.62,9.16,2.6,1.86,0.76,0.51,0.27,0.06,0.03,0.03,91,-16.2514,-49.9831
Ametista do Sul,"3.787,00","7.051,00",212.68,148.88,38.28,10.85,7.76,3.19,2.13,1.13,0.23,0.11,0.11,234,-27.3607,-53.183
Amontada,"5.405,00","8.588,00",274.46,192.12,49.4,14.0,10.02,4.12,2.74,1.45,0.3,0.15,0.15,135,-3.36017,-39.8288
Amorinópolis,"714,00","1.233,00",38.72,27.11,6.97,1.97,1.41,0.58,0.39,0.21,0.04,0.02,0.02,65,-16.6151,-51.0919
Amparo,"9.570,00","20.475,00",555.87,389.11,100.06,28.35,20.29,8.34,5.56,2.95,0.61,0.29,0.29,762,-7.55502,-37.0628
Amparo da Serra,"309,00","506,00",16.21,11.35,2.92,0.83,0.59,0.24,0.16,0.09,0.02,0.01,0.01,29,-20.5051,-42.8009
Amparo de São Francisco,"38,00","61,00",1.98,1.38,0.36,0.1,0.07,0.03,0.02,0.01,0.0,0.0,0.0,5,-10.1348,-36.935
Ampére,"9.074,00","20.854,00",565.84,396.09,101.85,28.86,20.65,8.49,5.66,3.0,0.62,0.3,0.3,768,-25.9168,-53.4686
Amélia Rodrigues,"988,00","1.605,00",52.24,36.57,9.4,2.66,1.91,0.78,0.52,0.28,0.06,0.03,0.03,71,-12.3914,-38.7563
América Dourada,"553,00","872,00",28.82,20.17,5.19,1.47,1.05,0.43,0.29,0.15,0.03,0.02,0.02,30,-11.4429,-41.439
Américo Brasiliense,"3.835,00","6.932,00",211.81,148.27,38.13,10.8,7.73,3.18,2.12,1.12,0.23,0.11,0.11,367,-21.7288,-48.1147
Américo de Campos,"1.362,00","3.757,00",93.66,65.56,16.86,4.78,3.42,1.4,0.94,0.5,0.1,0.05,0.05,173,-20.2985,-49.7359
Anadia,"1.144,00","1.804,00",59.32,41.53,10.68,3.03,2.17,0.89,0.59,0.31,0.07,0.03,0.03,96,-9.68489,-36.3078
Anagé,"1.288,00","2.508,00",73.34,51.34,13.2,3.74,2.68,1.1,0.73,0.39,0.08,0.04,0.04,122,-14.6151,-41.1356
Anahy,"1.447,00","3.200,00",90.38,63.27,16.27,4.61,3.3,1.36,0.9,0.48,0.1,0.05,0.05,95,-24.6449,-53.1332
Anajatuba,"353,00","615,00",19.38,13.56,3.49,0.99,0.71,0.29,0.19,0.1,0.02,0.01,0.01,38,-3.26269,-44.6126
Anajás,"266,00","403,00",13.48,9.44,2.43,0.69,0.49,0.2,0.13,0.07,0.01,0.01,0.01,7,-0.996811,-49.9354
Analândia,"807,00","1.370,00",43.31,30.32,7.8,2.21,1.58,0.65,0.43,0.23,0.05,0.02,0.02,62,-22.1289,-47.6619
Ananindeua,"36.845,00","138.379,00",3043.2,2130.24,547.78,155.2,111.08,45.65,30.43,16.13,3.35,1.61,1.61,3528,-1.36391,-48.3743
Ananás,"889,00","1.505,00",47.47,33.23,8.54,2.42,1.73,0.71,0.47,0.25,0.05,0.03,0.03,96,-6.36437,-48.0735
Anapu,"1.652,00","2.940,00",91.33,63.93,16.44,4.66,3.33,1.37,0.91,0.48,0.1,0.05,0.05,148,-3.46985,-51.2003
Anapurus,"773,00","1.198,00",40.02,28.02,7.2,2.04,1.46,0.6,0.4,0.21,0.04,0.02,0.02,56,-3.67577,-43.1014
Anastácio,"6.554,00","12.267,00",366.62,256.64,65.99,18.7,13.38,5.5,3.67,1.94,0.4,0.19,0.19,820,-20.4823,-55.8104
Anaurilândia,"2.478,00","6.831,00",168.5,117.95,30.33,8.59,6.15,2.53,1.69,0.89,0.19,0.09,0.09,269,-22.1852,-52.7191
